path,gender,number,намбэр
train/b6d0dd80b5.wav,female,23477,двадцать три тысячи четыреста семьдесят семь
train/fadc105e73.wav,male,201632,двести одна тысяча шестьсот тридцать два
train/3d6e772df6.wav,male,313644,триста тринадцать тысяч шестьсот сорок четыре
train/38dc558042.wav,male,214242,двести четырнадцать тысяч двести сорок два
train/600c11688a.wav,female,757400,семьсот пятьдесят семь тысяч четыреста
train/75cadf12dc.wav,female,840348,восемьсот сорок тысяч триста сорок восемь
train/6e264b0b88.wav,female,839472,восемьсот тридцать девять тысяч четыреста семьдесят два
train/553a6bbf30.wav,female,594761,пятьсот девяносто четыре тысячи семьсот шестьдесят один
train/c422a3ad6c.wav,female,717488,семьсот семнадцать тысяч четыреста восемьдесят восемь
train/eb589f23da.wav,female,157467,сто пятьдесят семь тысяч четыреста шестьдесят семь
train/c305b0cd1b.wav,female,447380,четыреста сорок семь тысяч триста восемьдесят
train/59d1360eb9.wav,female,391898,триста девяносто одна тысяча восемьсот девяносто восемь
train/ff47ad530c.wav,female,255438,двести пятьдесят пять тысяч четыреста тридцать восемь
train/bfbb3f396c.wav,male,300454,триста тысяч четыреста пятьдесят четыре
train/27628556ac.wav,female,776723,семьсот семьдесят шесть тысяч семьсот двадцать три
train/2ccf2a7034.wav,female,854086,восемьсот пятьдесят четыре тысячи восемьдесят шесть
train/9ef3996cb6.wav,male,523656,пятьсот двадцать три тысячи шестьсот пятьдесят шесть
train/610f1dfbce.wav,female,550034,пятьсот пятьдесят тысяч тридцать четыре
train/d32b0f432b.wav,male,333985,триста тридцать три тысячи девятьсот восемьдесят пять
train/9f85ba8a4b.wav,female,971734,девятьсот семьдесят одна тысяча семьсот тридцать четыре
train/ac1696695e.wav,male,228838,двести двадцать восемь тысяч восемьсот тридцать восемь
train/1a7ca76132.wav,female,626173,шестьсот двадцать шесть тысяч сто семьдесят три
train/2a470192e8.wav,male,530683,пятьсот тридцать тысяч шестьсот восемьдесят три
train/7141956ef9.wav,female,486447,четыреста восемьдесят шесть тысяч четыреста сорок семь
train/3b56075770.wav,female,68694,шестьдесят восемь тысяч шестьсот девяносто четыре
train/804c3f7464.wav,male,642296,шестьсот сорок две тысячи двести девяносто шесть
train/6750af9fa1.wav,female,676433,шестьсот семьдесят шесть тысяч четыреста тридцать три
train/5d563d389c.wav,female,638739,шестьсот тридцать восемь тысяч семьсот тридцать девять
train/e2a310836a.wav,male,10387,десять тысяч триста восемьдесят семь
train/2e4341c077.wav,female,171187,сто семьдесят одна тысяча сто восемьдесят семь
train/a268b01ffc.wav,male,124043,сто двадцать четыре тысячи сорок три
train/eced05da95.wav,female,237778,двести тридцать семь тысяч семьсот семьдесят восемь
train/725d35627f.wav,female,518736,пятьсот восемнадцать тысяч семьсот тридцать шесть
train/ca7775cf3f.wav,female,592630,пятьсот девяносто две тысячи шестьсот тридцать
train/6bca75d502.wav,female,508461,пятьсот восемь тысяч четыреста шестьдесят один
train/7dc6e00b3b.wav,male,146617,сто сорок шесть тысяч шестьсот семнадцать
train/84c7c12813.wav,male,209838,двести девять тысяч восемьсот тридцать восемь
train/ff34c41ed5.wav,female,763407,семьсот шестьдесят три тысячи четыреста семь
train/c0b29ecee8.wav,male,428415,четыреста двадцать восемь тысяч четыреста пятнадцать
train/d70e1d8f4e.wav,female,216352,двести шестнадцать тысяч триста пятьдесят два
train/1aed0a6243.wav,female,453876,четыреста пятьдесят три тысячи восемьсот семьдесят шесть
train/88d3e2b29a.wav,female,809742,восемьсот девять тысяч семьсот сорок два
train/3bd9bceed0.wav,female,832163,восемьсот тридцать две тысячи сто шестьдесят три
train/5011041f2a.wav,female,848454,восемьсот сорок восемь тысяч четыреста пятьдесят четыре
train/dccfe8c23d.wav,female,714529,семьсот четырнадцать тысяч пятьсот двадцать девять
train/3abbd8370a.wav,female,198650,сто девяносто восемь тысяч шестьсот пятьдесят
train/911e282a6b.wav,female,262787,двести шестьдесят две тысячи семьсот восемьдесят семь
train/68dee0989a.wav,male,736413,семьсот тридцать шесть тысяч четыреста тринадцать
train/2cb071a16b.wav,male,32219,тридцать две тысячи двести девятнадцать
train/98ab5988b4.wav,male,337681,триста тридцать семь тысяч шестьсот восемьдесят один
train/fe368d1e9e.wav,female,472408,четыреста семьдесят две тысячи четыреста восемь
train/80b0864291.wav,male,605820,шестьсот пять тысяч восемьсот двадцать
train/eab30a72ab.wav,female,316698,триста шестнадцать тысяч шестьсот девяносто восемь
train/856fbde919.wav,female,266233,двести шестьдесят шесть тысяч двести тридцать три
train/c4476a470a.wav,male,366482,триста шестьдесят шесть тысяч четыреста восемьдесят два
train/2e2eaef304.wav,female,866735,восемьсот шестьдесят шесть тысяч семьсот тридцать пять
train/83b5622f53.wav,male,104541,сто четыре тысячи пятьсот сорок один
train/b77d6dce0c.wav,male,472741,четыреста семьдесят две тысячи семьсот сорок один
train/86175dc93f.wav,female,308921,триста восемь тысяч девятьсот двадцать один
train/94d6e9525b.wav,female,703068,семьсот три тысячи шестьдесят восемь
train/278197d2fe.wav,female,199960,сто девяносто девять тысяч девятьсот шестьдесят
train/7123e694d3.wav,male,8877,восемь тысяч восемьсот семьдесят семь
train/7cd5a91a37.wav,male,138036,сто тридцать восемь тысяч тридцать шесть
train/f7fdd757a7.wav,male,743826,семьсот сорок три тысячи восемьсот двадцать шесть
train/1faf8b641b.wav,male,423337,четыреста двадцать три тысячи триста тридцать семь
train/9d87d460aa.wav,female,201250,двести одна тысяча двести пятьдесят
train/75e684ac81.wav,male,920509,девятьсот двадцать тысяч пятьсот девять
train/28985bf22b.wav,female,971605,девятьсот семьдесят одна тысяча шестьсот пять
train/b1ab39e8aa.wav,female,970112,девятьсот семьдесят тысяч сто двенадцать
train/1781279c50.wav,female,612812,шестьсот двенадцать тысяч восемьсот двенадцать
train/77ab0159f9.wav,female,208749,двести восемь тысяч семьсот сорок девять
train/55e1584dbd.wav,male,449524,четыреста сорок девять тысяч пятьсот двадцать четыре
train/36ebdf5372.wav,male,667650,шестьсот шестьдесят семь тысяч шестьсот пятьдесят
train/755cbc09e8.wav,female,413070,четыреста тринадцать тысяч семьдесят
train/c34d4c3d66.wav,female,404937,четыреста четыре тысячи девятьсот тридцать семь
train/f529ac4682.wav,female,207830,двести семь тысяч восемьсот тридцать
train/a0a07dad4c.wav,female,960149,девятьсот шестьдесят тысяч сто сорок девять
train/fe95a08567.wav,male,514423,пятьсот четырнадцать тысяч четыреста двадцать три
train/7b05bb50fd.wav,male,560686,пятьсот шестьдесят тысяч шестьсот восемьдесят шесть
train/f41e565784.wav,female,241326,двести сорок одна тысяча триста двадцать шесть
train/ca66e54460.wav,male,455391,четыреста пятьдесят пять тысяч триста девяносто один
train/e17c3b8b1f.wav,female,49908,сорок девять тысяч девятьсот восемь
train/2518ef1d2e.wav,male,814028,восемьсот четырнадцать тысяч двадцать восемь
train/c9dd3f1b02.wav,male,771012,семьсот семьдесят одна тысяча двенадцать
train/08713fa002.wav,male,955995,девятьсот пятьдесят пять тысяч девятьсот девяносто пять
train/0b44cf447c.wav,male,901021,девятьсот одна тысяча двадцать один
train/619d45ca74.wav,female,389584,триста восемьдесят девять тысяч пятьсот восемьдесят четыре
train/6b8f829be6.wav,male,708731,семьсот восемь тысяч семьсот тридцать один
train/8728135c99.wav,male,628255,шестьсот двадцать восемь тысяч двести пятьдесят пять
train/99dee92960.wav,female,286199,двести восемьдесят шесть тысяч сто девяносто девять
train/074755158b.wav,female,620967,шестьсот двадцать тысяч девятьсот шестьдесят семь
train/2dc3180ab5.wav,male,262983,двести шестьдесят две тысячи девятьсот восемьдесят три
train/584c6afcb7.wav,female,227882,двести двадцать семь тысяч восемьсот восемьдесят два
train/cb04d2e119.wav,female,91116,девяносто одна тысяча сто шестнадцать
train/45ce904e00.wav,female,467838,четыреста шестьдесят семь тысяч восемьсот тридцать восемь
train/3939c4420d.wav,female,947883,девятьсот сорок семь тысяч восемьсот восемьдесят три
train/762eb77280.wav,female,745799,семьсот сорок пять тысяч семьсот девяносто девять
train/f27b3c177b.wav,female,855168,восемьсот пятьдесят пять тысяч сто шестьдесят восемь
train/38ef5e6368.wav,female,740889,семьсот сорок тысяч восемьсот восемьдесят девять
train/b51dbe00a0.wav,female,675191,шестьсот семьдесят пять тысяч сто девяносто один
train/dfe65c08ff.wav,female,58026,пятьдесят восемь тысяч двадцать шесть
train/bd28d6ea19.wav,female,315831,триста пятнадцать тысяч восемьсот тридцать один
train/4565a44ced.wav,female,731087,семьсот тридцать одна тысяча восемьдесят семь
train/e06aab1086.wav,male,273343,двести семьдесят три тысячи триста сорок три
train/c8765310f3.wav,female,431922,четыреста тридцать одна тысяча девятьсот двадцать два
train/25acdfc151.wav,female,958746,девятьсот пятьдесят восемь тысяч семьсот сорок шесть
train/5005e0982f.wav,female,352120,триста пятьдесят две тысячи сто двадцать
train/4f735daa8e.wav,female,596487,пятьсот девяносто шесть тысяч четыреста восемьдесят семь
train/e3506d6c28.wav,female,349985,триста сорок девять тысяч девятьсот восемьдесят пять
train/d29047655c.wav,male,104149,сто четыре тысячи сто сорок девять
train/77f3288b8d.wav,female,672526,шестьсот семьдесят две тысячи пятьсот двадцать шесть
train/c3e7198002.wav,male,750964,семьсот пятьдесят тысяч девятьсот шестьдесят четыре
train/f3995783ad.wav,female,245388,двести сорок пять тысяч триста восемьдесят восемь
train/2a63cf4cce.wav,male,743553,семьсот сорок три тысячи пятьсот пятьдесят три
train/c5e12b61fa.wav,male,551637,пятьсот пятьдесят одна тысяча шестьсот тридцать семь
train/b955606418.wav,male,833346,восемьсот тридцать три тысячи триста сорок шесть
train/b4b5bd1b68.wav,male,804853,восемьсот четыре тысячи восемьсот пятьдесят три
train/518b73090b.wav,female,215625,двести пятнадцать тысяч шестьсот двадцать пять
train/78ed208dfc.wav,female,841277,восемьсот сорок одна тысяча двести семьдесят семь
train/889e6fd3d4.wav,female,601036,шестьсот одна тысяча тридцать шесть
train/a8f80bff33.wav,female,956421,девятьсот пятьдесят шесть тысяч четыреста двадцать один
train/6bae0a19cd.wav,male,285366,двести восемьдесят пять тысяч триста шестьдесят шесть
train/3de7f7514d.wav,female,606559,шестьсот шесть тысяч пятьсот пятьдесят девять
train/8931647c0d.wav,female,556040,пятьсот пятьдесят шесть тысяч сорок
train/b05ad29d50.wav,female,19875,девятнадцать тысяч восемьсот семьдесят пять
train/7f832d6c2b.wav,female,487528,четыреста восемьдесят семь тысяч пятьсот двадцать восемь
train/a0d84a9854.wav,male,360192,триста шестьдесят тысяч сто девяносто два
train/95e15b2cd1.wav,female,916599,девятьсот шестнадцать тысяч пятьсот девяносто девять
train/add693c027.wav,male,351116,триста пятьдесят одна тысяча сто шестнадцать
train/a05985babd.wav,male,119993,сто девятнадцать тысяч девятьсот девяносто три
train/6d70eb6eec.wav,male,369216,триста шестьдесят девять тысяч двести шестнадцать
train/ed8450e922.wav,male,222078,двести двадцать две тысячи семьдесят восемь
train/deb168c7ba.wav,female,882286,восемьсот восемьдесят две тысячи двести восемьдесят шесть
train/2c958eb127.wav,female,806264,восемьсот шесть тысяч двести шестьдесят четыре
train/ec4f1a77bc.wav,male,369433,триста шестьдесят девять тысяч четыреста тридцать три
train/cf9a79dc31.wav,male,549908,пятьсот сорок девять тысяч девятьсот восемь
train/ab7c31d89c.wav,female,88216,восемьдесят восемь тысяч двести шестнадцать
train/84e4b2fa17.wav,female,515839,пятьсот пятнадцать тысяч восемьсот тридцать девять
train/0ee35ea294.wav,male,865269,восемьсот шестьдесят пять тысяч двести шестьдесят девять
train/6baea4f375.wav,male,306398,триста шесть тысяч триста девяносто восемь
train/f218390305.wav,female,703383,семьсот три тысячи триста восемьдесят три
train/cfdc393aef.wav,female,428535,четыреста двадцать восемь тысяч пятьсот тридцать пять
train/9cc73bfeaf.wav,male,973195,девятьсот семьдесят три тысячи сто девяносто пять
train/da055611c6.wav,female,900071,девятьсот тысяч семьдесят один
train/ebeff5ad3d.wav,female,773398,семьсот семьдесят три тысячи триста девяносто восемь
train/bd59141d5a.wav,female,863667,восемьсот шестьдесят три тысячи шестьсот шестьдесят семь
train/ce1e2d9acd.wav,female,419055,четыреста девятнадцать тысяч пятьдесят пять
train/8070408a2b.wav,female,440590,четыреста сорок тысяч пятьсот девяносто
train/a1dc068b25.wav,female,176594,сто семьдесят шесть тысяч пятьсот девяносто четыре
train/6bd8352fb3.wav,female,133137,сто тридцать три тысячи сто тридцать семь
train/a956a07793.wav,male,866245,восемьсот шестьдесят шесть тысяч двести сорок пять
train/d60ec4c0fa.wav,female,546994,пятьсот сорок шесть тысяч девятьсот девяносто четыре
train/ed0187f3f0.wav,male,851159,восемьсот пятьдесят одна тысяча сто пятьдесят девять
train/35a41b3b05.wav,female,902160,девятьсот две тысячи сто шестьдесят
train/067612502f.wav,male,287507,двести восемьдесят семь тысяч пятьсот семь
train/9ea746ba7d.wav,female,615662,шестьсот пятнадцать тысяч шестьсот шестьдесят два
train/b1b0731f39.wav,female,175679,сто семьдесят пять тысяч шестьсот семьдесят девять
train/65b7a6694b.wav,female,890788,восемьсот девяносто тысяч семьсот восемьдесят восемь
train/83d76307db.wav,female,877159,восемьсот семьдесят семь тысяч сто пятьдесят девять
train/a5079cb7a5.wav,female,479157,четыреста семьдесят девять тысяч сто пятьдесят семь
train/6e940932e7.wav,male,412522,четыреста двенадцать тысяч пятьсот двадцать два
train/e39cabb469.wav,female,666745,шестьсот шестьдесят шесть тысяч семьсот сорок пять
train/5ab6f17a82.wav,female,762126,семьсот шестьдесят две тысячи сто двадцать шесть
train/a5a945c5b6.wav,male,755768,семьсот пятьдесят пять тысяч семьсот шестьдесят восемь
train/878612d4cd.wav,male,463220,четыреста шестьдесят три тысячи двести двадцать
train/65ac0f7d98.wav,female,163442,сто шестьдесят три тысячи четыреста сорок два
train/553bdb32a7.wav,female,495777,четыреста девяносто пять тысяч семьсот семьдесят семь
train/ad7a5bbf4f.wav,female,952293,девятьсот пятьдесят две тысячи двести девяносто три
train/67879ac2db.wav,male,963598,девятьсот шестьдесят три тысячи пятьсот девяносто восемь
train/76a5bcd3b0.wav,female,686696,шестьсот восемьдесят шесть тысяч шестьсот девяносто шесть
train/55a8ea68eb.wav,male,646029,шестьсот сорок шесть тысяч двадцать девять
train/017f99525d.wav,female,457448,четыреста пятьдесят семь тысяч четыреста сорок восемь
train/054b9518af.wav,male,398921,триста девяносто восемь тысяч девятьсот двадцать один
train/607d97013d.wav,female,739210,семьсот тридцать девять тысяч двести десять
train/9e8515949d.wav,female,890556,восемьсот девяносто тысяч пятьсот пятьдесят шесть
train/116ae38a06.wav,female,306905,триста шесть тысяч девятьсот пять
train/1aef9796f9.wav,female,134040,сто тридцать четыре тысячи сорок
train/87685c9fc9.wav,female,37463,тридцать семь тысяч четыреста шестьдесят три
train/77d23b396e.wav,female,16929,шестнадцать тысяч девятьсот двадцать девять
train/cbc546e3f5.wav,female,816214,восемьсот шестнадцать тысяч двести четырнадцать
train/262491fca8.wav,female,136867,сто тридцать шесть тысяч восемьсот шестьдесят семь
train/5e55513c1f.wav,female,735404,семьсот тридцать пять тысяч четыреста четыре
train/3d2eff9679.wav,male,322081,триста двадцать две тысячи восемьдесят один
train/daa222a907.wav,female,361934,триста шестьдесят одна тысяча девятьсот тридцать четыре
train/6cd4ed122d.wav,male,875229,восемьсот семьдесят пять тысяч двести двадцать девять
train/e367c38815.wav,female,212944,двести двенадцать тысяч девятьсот сорок четыре
train/833eec9267.wav,female,943481,девятьсот сорок три тысячи четыреста восемьдесят один
train/b27b01751e.wav,male,690899,шестьсот девяносто тысяч восемьсот девяносто девять
train/fb2e5ac775.wav,female,135197,сто тридцать пять тысяч сто девяносто семь
train/789a7d2314.wav,female,57302,пятьдесят семь тысяч триста два
train/2dd41552d8.wav,male,47400,сорок семь тысяч четыреста
train/6ab4969b7b.wav,female,734013,семьсот тридцать четыре тысячи тринадцать
train/eaeae195d9.wav,male,675463,шестьсот семьдесят пять тысяч четыреста шестьдесят три
train/e8efc0c93b.wav,male,828797,восемьсот двадцать восемь тысяч семьсот девяносто семь
train/d31bfd841b.wav,female,337215,триста тридцать семь тысяч двести пятнадцать
train/6a46e6f5f9.wav,female,640525,шестьсот сорок тысяч пятьсот двадцать пять
train/0f9c6e1ec9.wav,male,279192,двести семьдесят девять тысяч сто девяносто два
train/85f00da409.wav,female,968993,девятьсот шестьдесят восемь тысяч девятьсот девяносто три
train/fc97e0dcdf.wav,female,675024,шестьсот семьдесят пять тысяч двадцать четыре
train/3e2d7cca59.wav,male,57453,пятьдесят семь тысяч четыреста пятьдесят три
train/8ce03ff54b.wav,female,867851,восемьсот шестьдесят семь тысяч восемьсот пятьдесят один
train/01b9962944.wav,female,357040,триста пятьдесят семь тысяч сорок
train/b232f645f7.wav,female,604246,шестьсот четыре тысячи двести сорок шесть
train/65304ecfba.wav,female,563233,пятьсот шестьдесят три тысячи двести тридцать три
train/c4034b138a.wav,female,466919,четыреста шестьдесят шесть тысяч девятьсот девятнадцать
train/b0efb460aa.wav,male,77556,семьдесят семь тысяч пятьсот пятьдесят шесть
train/a30b388d28.wav,male,849892,восемьсот сорок девять тысяч восемьсот девяносто два
train/85edd9f903.wav,male,383359,триста восемьдесят три тысячи триста пятьдесят девять
train/a1e4d4d272.wav,male,376675,триста семьдесят шесть тысяч шестьсот семьдесят пять
train/c345dbcaca.wav,female,311649,триста одиннадцать тысяч шестьсот сорок девять
train/74f2b48b4c.wav,female,53583,пятьдесят три тысячи пятьсот восемьдесят три
train/92b9391822.wav,female,379038,триста семьдесят девять тысяч тридцать восемь
train/eb5374bb30.wav,male,908762,девятьсот восемь тысяч семьсот шестьдесят два
train/a86346c815.wav,female,109610,сто девять тысяч шестьсот десять
train/54d3f4be73.wav,female,238321,двести тридцать восемь тысяч триста двадцать один
train/a7595cf546.wav,male,552298,пятьсот пятьдесят две тысячи двести девяносто восемь
train/4e80b28438.wav,female,966601,девятьсот шестьдесят шесть тысяч шестьсот один
train/e66a8ed1ff.wav,female,418202,четыреста восемнадцать тысяч двести два
train/1f16eb0aa9.wav,female,84838,восемьдесят четыре тысячи восемьсот тридцать восемь
train/fae2ca7951.wav,female,381829,триста восемьдесят одна тысяча восемьсот двадцать девять
train/2df86493e8.wav,female,406950,четыреста шесть тысяч девятьсот пятьдесят
train/e338beacdd.wav,female,725843,семьсот двадцать пять тысяч восемьсот сорок три
train/4d993d3949.wav,male,279458,двести семьдесят девять тысяч четыреста пятьдесят восемь
train/11f2392793.wav,female,667929,шестьсот шестьдесят семь тысяч девятьсот двадцать девять
